Nombre,Seleccion,Posicion,Goles,Asistencias,MinutosJugados,PartidosDisputados,Tarjetas
Lionel Messi,Argentina,Delantero,7,3,690,7,1
Kylian Mbappe,Francia,Delantero,8,2,597,7,0
Luka Modric,Croacia,Mediocampista,0,0,656,7,1
Emiliano Martinez,Argentina,Portero,0,0,690,7,1
Hakim Ziyech,Marruecos,Delantero,1,1,638,7,0
Sofyan Amrabat,Marruecos,Mediocampista,0,0,660,7,2
Josko Gvardiol,Croacia,Defensa,1,0,690,7,0
Jude Bellingham,Inglaterra,Mediocampista,1,1,415,5,0
Neymar Jr,Brasil,Delantero,1,0,281,3,0
Cody Gakpo,Paises Bajos,Delantero,3,0,454,5,0
Enzo Fernandez,Argentina,Mediocampista,1,1,563,7,1
Harry Kane,Inglaterra,Delantero,2,3,404,5,0
Cristiano Ronaldo,Portugal,Delantero,1,0,290,5,0
